id,company,category,stipend_inr,deadline_in_days,trust_score,scam_risk_score,skills_required,listed_date
567,Unacademy,Marketing,13826,39,38.18,54.72,"social media, analytics, content strategy, copywriting",2026-06-25
568,TCS,Software Engineering,18014,25,82.71,12.76,"python, git, sql, nodejs",2026-03-20
569,EY,Cloud Engineering,30233,7,49.11,55.33,"python, gcp, docker, terraform",2026-04-19
570,Zomato,AI/ML,21582,4,37.13,67.6,"statistics, mlops, tensorflow, python",2026-05-10
571,TCS,UI/UX Design,29761,18,81.07,6.93,"user research, wireframing, design systems, prototyping",2026-03-13
572,Intel,Data Analytics,21303,17,46.5,57.56,"sql, python, excel, tableau",2026-06-07
573,Accenture,Cybersecurity,18940,36,75.91,26.44,"linux, network security, threat analysis, siem",2026-03-11
574,Razorpay,Cloud Engineering,31985,17,72.14,21.92,"kubernetes, terraform, docker, gcp",2026-03-07
575,Juspay,Cloud Engineering,21923,29,45.29,40.26,"aws, terraform, kubernetes, gcp",2026-07-06
576,Myntra,UI/UX Design,31628,46,81.11,29.47,"design systems, figma, user research, wireframing",2026-07-02
577,Groww,AI/ML,24737,30,83.11,14.19,"python, pytorch, mlops, statistics",2026-05-03
578,Zomato,Cybersecurity,25657,14,58.13,30.27,"siem, linux, threat analysis, python",2026-04-17
579,CRED,Marketing,6661,12,42.78,49.98,"copywriting, content strategy, analytics, seo",2026-04-26
580,TCS,UI/UX Design,30180,6,24.13,75.37,"figma, wireframing, user research, design systems",2026-03-09
581,Amazon,Product Management,13498,9,49.35,62.18,"roadmapping, stakeholder management, analytics, sql",2026-06-30
582,CRED,Product Management,17935,12,44.98,69.11,"stakeholder management, roadmapping, analytics, communication",2026-03-15
583,IBM,Data Science,13292,13,85.13,27.98,"statistics, numpy, sql, python",2026-04-28
584,Wipro,Business Operations,19426,38,74.37,34.3,"project management, communication, sql, reporting",2026-03-01
585,Unacademy,Data Science,32591,18,87.87,24.67,"pandas, numpy, statistics, python",2026-05-27
586,IBM,UI/UX Design,10279,41,79.99,13.23,"wireframing, design systems, user research, prototyping",2026-05-31
587,CRED,AI/ML,32595,37,63.86,31.69,"statistics, tensorflow, mlops, llms",2026-04-23
588,Accenture,Software Engineering,11636,28,70.92,37.81,"sql, java, git, react",2026-04-04
589,Google,Business Operations,26651,31,83.28,22.3,"reporting, communication, sql, excel",2026-03-21
590,Paytm,Cybersecurity,25888,30,80.57,10.39,"siem, python, threat analysis, network security",2026-05-10
591,TCS,Software Engineering,32225,27,90.53,0.42,"java, python, sql, git",2026-03-10
592,Meesho,Cloud Engineering,16636,10,17.42,85.21,"kubernetes, python, gcp, terraform",2026-05-21
593,PhonePe,Product Management,35825,14,56.78,41.16,"analytics, stakeholder management, sql, roadmapping",2026-06-22
594,Paytm,Cloud Engineering,17125,19,36.64,77.64,"kubernetes, aws, docker, python",2026-03-25
595,Google,UI/UX Design,26268,16,74.15,32.25,"design systems, user research, figma, wireframing",2026-05-28
596,Accenture,Marketing,22277,6,61.84,33.79,"copywriting, seo, social media, content strategy",2026-04-17
597,PwC,Marketing,19403,17,68.09,24.72,"analytics, social media, seo, copywriting",2026-02-26
598,Practo,AI/ML,29583,19,41.66,44.66,"tensorflow, llms, mlops, pytorch",2026-04-23
599,Meesho,Cybersecurity,13489,11,78.53,11.01,"python, network security, threat analysis, linux",2026-06-21
600,Freshworks,Software Engineering,21088,11,49.83,56.35,"sql, python, nodejs, java",2026-06-16
